Child No.0, CPU Time:63, IO Time:6 
Child No.1, CPU Time:77, IO Time:5 
Child No.2, CPU Time:73, IO Time:5 
Child No.3, CPU Time:66, IO Time:2 
Child No.4, CPU Time:69, IO Time:1 
Child No.5, CPU Time:62, IO Time:7 
Child No.6, CPU Time:70, IO Time:9 
Child No.7, CPU Time:63, IO Time:6 
Child No.8, CPU Time:60, IO Time:6 
Child No.9, CPU Time:72, IO Time:6 
Time: 118, Child No.7 gets CPU time, Remaining:39, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 119, Child No.8 gets CPU time, Remaining:36, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 120, Child No.9 gets CPU time, Remaining:48, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 121, Child No.0 gets CPU time, Remaining:37, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 122, Child No.1 gets CPU time, Remaining:51, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 123, Child No.2 gets CPU time, Remaining:47, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 124, Child No.3 gets CPU time, Remaining:40, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 125, Child No.4 gets CPU time, Remaining:43, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 126, Child No.5 gets CPU time, Remaining:36, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 127, Child No.6 gets CPU time, Remaining:44, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 128, Child No.7 gets CPU time, Remaining:37, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 129, Child No.8 gets CPU time, Remaining:34, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 130, Child No.9 gets CPU time, Remaining:46, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 131, Child No.0 gets CPU time, Remaining:35, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 132, Child No.1 gets CPU time, Remaining:49, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 133, Child No.2 gets CPU time, Remaining:45, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 134, Child No.3 gets CPU time, Remaining:38, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 135, Child No.4 gets CPU time, Remaining:41, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 136, Child No.5 gets CPU time, Remaining:34, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 137, Child No.6 gets CPU time, Remaining:42, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 138, Child No.7 gets CPU time, Remaining:35, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 139, Child No.8 gets CPU time, Remaining:32, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 140, Child No.9 gets CPU time, Remaining:44, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 141, Child No.0 gets CPU time, Remaining:33, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 142, Child No.1 gets CPU time, Remaining:47, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 143, Child No.2 gets CPU time, Remaining:43, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 144, Child No.3 gets CPU time, Remaining:36, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 145, Child No.4 gets CPU time, Remaining:39, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 146, Child No.5 gets CPU time, Remaining:32, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 147, Child No.6 gets CPU time, Remaining:40, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 148, Child No.7 gets CPU time, Remaining:33, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
